building_id,x,y
0,1774,1825
0,1806,1832
0,1790,1931
0,1753,1921
1,1890,1848
1,1893,1812
1,1991,1831
1,1983,1867
2,1876,1878
2,1915,1899
2,1916,1925
2,1877,1947
2,1853,1931
2,1850,1900
3,1963,1877
3,1999,1891
3,1973,2000
3,1947,1994
4,2147,1829
4,2222,1823
4,2225,1948
4,2236,1944
4,2235,1976
4,2133,1963
4,2128,1943
4,2148,1939
5,1850,2249
5,1866,2269
5,1860,2284
5,1884,2311
5,2138,2215
5,2150,2167
5,2076,2147
6,1858,2291
6,1825,2290
6,1825,2277
6,1772,2281
6,1775,2448
6,1838,2446
6,1863,2434
6,1865,2483
6,1887,2483
6,1895,2428
6,1869,2403
6,1862,2346
7,1806,2581
7,1799,2572
7,1761,2568
7,1768,2450
7,1851,2454
7,1872,2544
7,1846,2561
7,1827,2522
7,1798,2512
7,1797,2549
7,1823,2557
7,1812,2571
8,1868,2503
8,1872,2541
8,1960,2483
8,1979,2515
9,2000,2518
9,2113,2493
9,2113,2525
9,2191,2493
9,2191,2461
9,2190,2445
9,2245,2445
9,2279,2416
9,2244,2311
9,2233,2313
9,2192,2324
9,2158,2335
9,2143,2359
9,2069,2391
9,2015,2406
9,1938,2432
9,1894,2426
9,1901,2453
9,1956,2455
9,1981,2462
10,1898,2166
10,1869,2176
10,1854,2158
10,1868,2152
10,1863,2137
10,1834,2145
10,1851,2121
10,1854,2093
10,1918,2063
10,1947,2107
10,1963,2109
10,1951,2128
10,1925,2127
10,1920,2095
10,1912,2085
10,1865,2110
10,1879,2142
10,1897,2151
11,1764,2704
11,1828,2704
11,1831,2609
11,1764,2616
12,1690,2653
12,1716,2653
12,1716,2752
12,1692,2752
12,1642,2751
12,1559,2747
12,1559,2679
12,1588,2675
12,1593,2702
12,1631,2702
12,1626,2678
12,1620,2670
12,1627,2656
12,1647,2654
12,1655,2680
12,1651,2695
12,1685,2710
13,1660,2778
13,1709,2777
13,1720,2859
13,1668,2864
14,1560,2861
14,1611,2860
14,1610,2767
14,1572,2769
15,1677,2998
15,1710,2998
15,1714,2880
15,1678,2880
16,1570,2884
16,1629,2886
16,1629,2987
16,1604,2995
16,1604,3015
16,1567,3017
17,1764,2954
17,1771,2991
17,1772,3018
17,1802,3012
17,1792,2985
17,1821,2985
17,1823,2955
18,1662,3148
18,1718,3144
18,1724,3081
18,1663,3081
19,1574,3184
19,1575,3167
19,1581,3095
19,1556,3092
19,1560,3121
19,1541,3103
19,1547,3088
19,1610,3088
19,1615,3167
19,1620,3187
20,1436,3118
20,1441,3151
20,1471,3145
20,1476,3176
20,1549,3168
20,1544,3122
20,1521,3078
21,1546,3242
21,1396,3238
21,1396,3203
21,1439,3203
21,1435,3195
21,1412,3190
21,1411,3161
21,1462,3156
21,1465,3193
21,1544,3200
21,1546,3242
22,1357,3175
22,1391,3171
22,1391,3251
22,1306,3258
22,1291,3313
22,1280,3345
22,1236,3340
22,1236,3294
22,1215,3282
22,1336,3189
22,1363,3189
23,1661,3160
23,1723,3164
23,1730,3231
23,1670,3231
24,1307,3379
24,1353,3368
24,1315,3302
24,1355,3305
25,1264,3398
25,1264,3341
25,1209,3363
25,1206,3371
26,1536,3394
26,1629,3293
26,1640,3296
26,1674,3255
26,1722,3263
26,1715,3392
27,1569,3434
27,1574,3471
27,1646,3428
27,1645,3395
27,1600,3395
27,1603,3421
28,1608,3467
28,1614,3505
28,1711,3510
28,1709,3392
28,1682,3392
28,1680,3464
29,1568,3556
29,1568,3504
29,1631,3507
29,1635,3552
30,2196,3329
30,2239,3337
30,2241,3430
30,2202,3433
31,1654,3536
31,1718,3536
31,1713,3716
31,1541,3727
31,1568,3686
31,1668,3686
31,1666,3637
31,1659,3592
32,1455,3763
32,1574,3790
32,1580,3866
32,1543,3897
32,1467,3892
32,1481,3847
32,1459,3824
33,1606,3773
33,1659,3778
33,1658,3884
33,1608,3891
34,1662,3797
34,1702,3779
34,1716,3893
34,1672,3892
35,1894,3863
35,1923,3784
35,1935,3788
35,1943,3769
35,1947,3741
35,1984,3792
35,1978,3747
35,1986,3843
35,1945,3854
35,1939,3873
36,1825,3712
36,1823,3622
36,1960,3581
36,1950,3694
37,1972,3556
37,2009,3589
37,2006,3720
37,1964,3709
38,2073,3654
38,2079,3690
38,2143,3671
38,2125,3610
39,2182,3761
39,2218,3757
39,2211,3703
39,2179,3703
40,1070,3777
40,1077,3900
40,1121,3899
40,1123,3790
41,1057,3650
41,1057,3713
41,1152,3716
41,1152,3650
42,1091,3625
42,1159,3623
42,1159,3549
42,1106,3551
42,1109,3570
42,1088,3577
43,1118,3479
43,1118,3522
43,1153,3485
43,1153,3485
44,1199,3712
44,1321,3712
44,1317,3628
44,1271,3484
44,1275,3610
44,1277,3445
44,1204,3437
44,1209,3611
44,1224,3599
44,1222,3622
44,1203,3622
45,1094,3450
45,1163,3467
45,1153,3418
45,1107,3461
45,1085,3421
46,1086,3402
46,1145,3403
46,1160,3338
46,1090,3343
47,1148,3315
47,1147,3283
47,1005,3257
47,1006,3303
47,1046,3304
47,1050,3296
47,1071,3299
47,1079,3315
48,1158,3253
48,1152,3223
48,999,3211
48,1073,3247
49,1094,3101
49,1132,3105
49,1135,3132
49,1097,3139
50,1080,3154
50,1101,3150
50,1101,3163
50,1096,3208
50,1086,3167
51,1016,3115
51,1050,3116
51,1049,3147
51,1019,3145
52,1015,3066
52,1064,3079
52,1068,3052
52,1118,3049
52,1120,3012
52,1160,3008
52,1164,2971
52,1131,2971
52,1119,2987
52,1063,2987
52,1055,2970
52,1073,2960
52,1073,2945
52,1009,2945
52,1013,2974
52,1011,2966
52,1009,3005
52,1022,3036
52,1042,3051
53,1010,2872
53,1062,2876
53,1062,2826
53,1060,2864
53,1011,2826
54,1099,2880
54,1106,2855
54,1163,2857
54,1156,2890
55,1083,2836
55,1089,2817
55,1124,2826
55,1118,2840
56,1002,3318
56,1033,3315
56,1036,3457
56,991,3457
57,953,2870
57,935,2842
57,819,2839
57,823,2875
58,877,2942
58,874,2907
58,938,2910
58,938,2935
59,886,2984
59,947,2983
59,945,3027
59,900,3027
60,886,3057
60,964,3052
60,970,3079
60,890,3096
61,801,3106
61,896,3115
61,895,3160
61,802,3159
62,701,3105
62,769,3113
62,771,3169
62,828,3170
62,703,3161
63,716,3022
63,725,3065
63,821,3068
63,819,3035
64,769,2841
64,803,2844
64,800,2962
64,871,3031
64,842,3052
64,828,3014
64,763,3018
64,764,2981
64,763,2929
64,757,2874
65,725,3004
65,678,3003
65,687,2955
65,646,2894
65,713,2844
65,747,2869
65,743,2928
65,719,2953
66,637,3030
66,640,3123
66,684,3127
66,678,3031
67,516,3120
67,560,3120
67,563,3083
67,499,3080
68,510,3025
68,567,3030
68,509,2997
68,559,3026
69,454,3129
69,522,3129
69,509,3164
69,459,3164
70,452,3034
70,490,3042
70,463,3015
70,493,3071
